district,price,GrossSquareMeters,ItemStatus,room,hall
0,3100000.0,160.0,1,3.0,1.0
0,1600000.0,120.0,1,2.0,1.0
0,7000000.0,200.0,0,3.0,2.0
0,3250000.0,400.0,0,8.0,1.0
0,2850000.0,250.0,0,5.0,1.0
0,2200000.0,125.0,1,2.0,2.0
0,1000000.0,140.0,0,2.0,1.0
0,8250000.0,260.0,0,7.0,3.0
0,2915000.0,130.0,1,2.0,1.0
0,885.0,75.0,1,1.0,1.0
0,2600000.0,250.0,0,5.0,3.0
0,3250000.0,180.0,1,3.0,1.0
1,515.0,100.0,0,2.0,1.0
1,1000000.0,200.0,0,4.0,2.0
1,506.0,100.0,0,2.0,1.0
1,660.0,90.0,0,2.0,1.0
1,1250000.0,260.0,0,5.0,2.0
1,765.0,180.0,0,4.0,1.0
1,480.0,85.0,0,1.0,1.0
1,715.0,105.0,0,2.0,1.0
1,850.0,160.0,0,3.0,2.0
1,1150000.0,225.0,0,4.0,2.0
1,660.0,105.0,0,2.0,1.0
1,740.0,100.0,0,2.0,1.0
1,625.0,100.0,0,2.0,1.0
1,800.0,160.0,0,3.0,2.0
1,590.0,95.0,0,2.0,1.0
1,650.0,95.0,0,2.0,1.0
1,850.0,90.0,0,2.0,1.0
1,735.0,100.0,0,2.0,1.0
1,1150000.0,220.0,0,4.0,2.0
1,1000000.0,190.0,0,4.0,2.0
1,720.0,100.0,0,2.0,1.0
1,570.0,85.0,0,2.0,1.0
1,870.0,170.0,0,3.0,2.0
1,675.0,95.0,0,2.0,1.0
1,555.0,90.0,0,2.0,1.0
1,950.0,140.0,1,3.0,1.0
1,900.0,140.0,0,3.0,1.0
1,570.0,105.0,0,2.0,1.0
1,645.0,125.0,1,2.0,1.0
1,450.0,100.0,0,2.0,1.0
1,585.0,120.0,0,3.0,1.0
1,940.0,95.0,0,2.0,1.0
1,520.0,55.0,0,1.0,1.0
1,700.0,90.0,0,2.0,1.0
1,890.0,85.0,0,2.0,1.0
1,420.0,70.0,0,1.0,1.0
1,6000000.0,300.0,0,6.0,2.0
1,725.0,105.0,0,2.0,1.0
1,875.0,115.0,0,3.0,1.0
1,950.0,95.0,0,2.0,1.0
1,525.0,95.0,0,2.0,1.0
1,555.0,130.0,0,3.0,1.0
1,1200000.0,200.0,0,4.0,2.0
1,870.0,140.0,0,3.0,1.0
1,619.0,100.0,0,2.0,1.0
1,550.0,115.0,0,3.0,1.0
1,750.0,100.0,0,2.0,1.0
1,700.0,185.0,0,3.0,2.0
1,725.0,180.0,0,3.0,1.0
1,700.0,80.0,0,2.0,1.0
1,500.0,110.0,0,2.0,1.0
1,2875999.0,210.0,0,5.0,2.0
1,670.0,100.0,0,2.0,1.0
1,920.0,107.0,0,2.0,1.0
1,675.0,170.0,0,3.0,1.0
1,800.0,135.0,0,3.0,1.0
1,1050000.0,220.0,0,4.0,2.0
1,630.0,110.0,0,2.0,1.0
1,900.0,175.0,0,3.0,1.0
1,950.0,130.0,0,2.0,1.0
1,278.0,95.0,0,1.0,1.0
1,810.0,185.0,1,3.0,2.0
1,650.0,140.0,0,3.0,1.0
1,700.0,130.0,0,2.0,1.0
1,610.0,100.0,0,2.0,1.0
1,720.0,84.0,0,2.0,1.0
1,715.0,135.0,0,3.0,1.0
1,758.0,132.0,0,3.0,1.0
1,600.0,120.0,0,2.0,1.0
1,700.0,85.0,0,2.0,1.0
1,1350000.0,260.0,0,4.0,2.0
1,560.0,90.0,0,2.0,1.0
1,550.0,120.0,0,3.0,1.0
1,630.0,120.0,0,3.0,1.0
1,650.0,110.0,0,2.0,1.0
1,730.0,95.0,0,2.0,1.0
1,630.0,90.0,0,2.0,1.0
1,580.0,95.0,0,2.0,1.0
1,789.0,111.0,0,3.0,1.0
1,620.0,115.0,0,2.0,1.0
1,700.0,84.0,0,2.0,1.0
1,850.0,170.0,0,3.0,2.0
